authorMeta/fans,authorMeta/name,authorMeta/privateAccount,authorMeta/verified,collectCount,commentCount,diggCount,playCount,shareCount,textLanguage,videoMeta/duration,hashtags,year,month,day,weekday,hour,hashtags_split
17400,headbehindabookaesthetic,False,False,34,48,298,5131,7,en,91,"no_hashtag, getfable, ad, fablebookclub, fableapp, readingapp, readingtracker, readinggoals, fablepartner, readinglist, bookreviews, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,10,21,Monday,18,"['nan', ' getfable', ' ad', ' fablebookclub', ' fableapp', ' readingapp', ' readingtracker', ' readinggoals', ' fablepartner', ' readinglist', ' bookreviews', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
94,gracies.readings,False,False,6,10,61,3354,3,en,11,"booktok, fable, fableapp, fablebookclub, fablebookapp, bookstagram, bookish, goodreads, readingreccomendations, englishliterature, waterstones, bookrecommendations, reading, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,3,27,Thursday,10,"['booktok', ' fable', ' fableapp', ' fablebookclub', ' fablebookapp', ' bookstagram', ' bookish', ' goodreads', ' readingreccomendations', ' englishliterature', ' waterstones', ' bookrecommendations', ' reading', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
2967,vansupr3macy,False,False,29800,1249,373800,1600000,8341,en,13,"wlw, fable, gigiperez, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,4,30,Wednesday,1,"['wlw', ' fable', ' gigiperez', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
71100,zhyrg,False,False,18600,272,128200,530000,1647,ms,60,"fable, gigiperez, song, lyric, music, lyrics, lyricsvideo, songs, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,9,Friday,16,"['fable', ' gigiperez', ' song', ' lyric', ' music', ' lyrics', ' lyricsvideo', ' songs', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
17700,ssuperached,False,False,13700,218,80000,640000,1848,en,65,"gigiperez, fable, fablegigiparez, lyrics, fyp, zyxcba, viral, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,3,4,Tuesday,16,"['gigiperez', ' fable', ' fablegigiparez', ' lyrics', ' fyp', ' zyxcba', ' viral', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
37800,mbs_songs,False,False,32600,495,214100,919700,2500,ms,32,"fable, gigiperez, lyrics, songs, audios, music, songlyrics, bratlyrics, fyp, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,7,Wednesday,18,"['fable', ' gigiperez', ' lyrics', ' songs', ' audios', ' music', ' songlyrics', ' bratlyrics', ' fyp', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
2200000,damiannnnnnnnnnn__,False,False,4458,63,41500,153700,306,un,23,"fable, gigiperez, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,12,Monday,4,"['fable', ' gigiperez', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
456,wiseedyy,False,False,18,5,102,1136,2,en,23,"thefable, fable, anime, animeedit, manga, mangaedit, reccomendation, fyp, elbruso, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,12,Monday,17,"['thefable', ' fable', ' anime', ' animeedit', ' manga', ' mangaedit', ' reccomendation', ' fyp', ' elbruso', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
400,textoverlays_edit,False,False,14,4,211,846,2,en,23,"no_hashtag, overlay, lyrics, overlayedit, textoverlays_edit, fable, gigiperez, fyp, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,12,Monday,16,"['nan', ' overlay', ' lyrics', ' overlayedit', ' textoverlays_edit', ' fable', ' gigiperez', ' fyp', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
81200,k1ttyl0va,False,False,48100,866,309200,2500000,7550,en,34,"lyrics, gigiperez, fable, brat, fy, viral, xyzcba, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,10,26,Saturday,20,"['lyrics', ' gigiperez', ' fable', ' brat', ' fy', ' viral', ' xyzcba', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
30700,maiapapayaa,False,False,1101,74,7731,2500000,413,en,49,"no_hashtag, fablepartner, fable, booktok, fantasybooks, romancebooks, darkromance, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,3,28,Friday,17,"['nan', ' fablepartner', ' fable', ' booktok', ' fantasybooks', ' romancebooks', ' darkromance', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
